Location,device Name,Device ID,Latitude,Longitude
Al AHSA,AL AHSA GATEWAY,82856,25.6223201,49.5478321
Al AHSA,AL AHSA METER COUNT,609646,25.6223202,49.5478289
Al AHSA,AL AHSA FLOOD,617121,25.6223209,49.5478297
Al AHSA,AL AHSA MOTION,623296,25.6223208,49.5478294
Al AHSA,AL AHSA WEATHER,622361,25.6223222,49.5478309
Al AHSA,AL AHSA SMOKE,617852,25.622322,49.547832
Al AHSA,AL AHSA UPS,617887,25.6223214,49.5478382
AL BAHA,AL BAHA GATEWAY,81690,20.3268778,41.6247255
AL BAHA,AL BAHA SMOKE,617979,20.3447811,41.6415594
AL BAHA,AL BAHA WEATHER,622368,20.3268778,41.6247255
AL BAHA,AL BAHA METER COUNT,609561,20.3268778,41.6247255
AL BAHA,AL BAHA UPS,617749,20.3447893,41.6415329
AL BAHA,AL BAHA MOTION,602277,20.3268778,41.6247255
AL BAHA,AL BAHA FLOOD,616660,20.3268778,41.6247255
AL KHARJ COMM ROOM,AL KHARJ COMM GATEWAY,82825,23.9470811,47.2601599
AL KHARJ COMM ROOM,AL KHARJ COMM MOTION,623013,23.947081,47.2601522
AL KHARJ COMM ROOM,AL KHARJ COMM WEATHER,622260,23.947081,47.2601522
AL KHARJ COMM ROOM,AL KHARJ COMM FLOOD,617103,23.9470806,47.2601607
AL KHARJ COMM ROOM,AL KHARJ COMM METER COUNT,608251,23.9470806,47.2601607
AL KHARJ COMM ROOM,AL KHARJ COMM SMOKE,617866,23.9470806,47.2601607
AL KHARJ COMM ROOM,AL KHARJ COMM UPS,617892,23.9470803,47.2601613
AL KHARJ FIRESTATION,AL KHARJ FIRESTATION GATEWAY,82805,23.9275879,47.2708563
AL KHARJ FIRESTATION,AL KHARJ FIRESTATION WEATHER,622393,23.9351843,47.2641387
AL KHARJ FIRESTATION,AL KHARJ FIRESTATION MOTION,623266,23.9351843,47.2641387
AL KHARJ FIRESTATION,AL KHARJ FIRESTATION FLOOD,617021,23.9351843,47.2641387
AL KHARJ FIRESTATION,AL KHARJ FIRESTAITON METER COUNT ,609731,23.9351843,47.2641387
AL KHARJ FIRESTATION,AL KHARJ FIRESTATION SMOKE,617944,23.9351843,47.2641387
AL KHARJ FIRESTATION,AL KHARJ FIRESTATION MAIN ELECTRIC,617913,23.927874,47.2699402
AL QASSIM,AL QASSIM GATEWAY,83215,26.2325657,44.0309018
AL QASSIM,AL QASSIM SMOKE,617797,26.2325669,44.0309011
AL QASSIM,AL QASSIM UPS,617766,26.2325666,44.0309007
AL QASSIM,AL QASSIM METER COUNT,609649,26.2325643,44.030901
AL QASSIM,AL QASSIM MOTION,623072,26.2325665,44.0309013
AL QASSIM,AL QASSIM FLOOD,617114,26.2325671,44.0309012
AL QASSIM,AL QASSIM WEATHER,622239,26.2325668,44.030902
DAMMAM 1,DAMMAM 1 GATEWAY,83246,26.4022629,50.1390001
DAMMAM 2,DAMMAM 1 MOTION,602310,26.4022343,50.1390333
DAMMAM 3,DAMMAM 1 WEATHER,622490,26.402242,50.1390184
DAMMAM 4,DAMMAM 1 FLOOD,617112,26.4022448,50.1390099
DAMMAM 5,DAMMAM 1 METER COUNT,608892,26.402237,50.1390194
DAMMAM 6,DAMMAM 1 SMOKE,618019,26.4022498,50.139007
DAMMAM 7,DAMMAM 1 UPS,618012,26.4022409,50.1390156
DAMMAM 2,DAMMAM 2 GATEWAY,83253,26.2424718,49.9839657
DAMMAM 3,DAMMAM 2 UPS,617865,26.2467916,49.9831336
DAMMAM 4,DAMMAM 2 SMOKE,617737,26.2467635,49.9831311
DAMMAM 5,DAMMAM 2 MOTION,623292,26.2467901,49.9831352
DAMMAM 6,DAMMAM 2  WEATHER,622386,26.2467736,49.9831304
DAMMAM 7,DAMMAM 2 METER COUNT,609874,26.2467876,49.9831299
DAMMAM 8,DAMMAM 2 FLOOD,617118,26.2467686,49.9831303
DAMMAM 3  ,DAMMAM 3 GATEWAY,82853,25.9341157,49.9633785
DAMMAM 4,DAMMAM 3 MOTION,623017,25.9341157,49.9633785
DAMMAM 5,DAMMAM 3 UPS,617786,25.9341157,49.9633788
DAMMAM 6,DAMMAM 3 WEATHER,622448,25.9341157,49.9633784
DAMMAM 7,DAMMAM 3  METER COUNT,607873,25.9341157,49.9633786
DAMMAM 8,DAMMAM 3 SMOKE,617824,25.9341158,49.9633787
DAMMAM 9,DAMMAM 3 FLOOD,616997,25.9341214,49.963376
DAMMAM FIRESTATION,DAMMAM FIRESTATION GATEWAY,83252,25.9329178,49.9635603
DAMMAM FIRESTATION,DAMMAM FIRESTATION MOTION,623082,25.9329196,49.9635383
DAMMAM FIRESTATION,DAMMAM FIRESTATION METER COUNT,609981,25.9320343,49.9631973
DAMMAM FIRESTATION,DAMMAM FIRESTATION FLOOD,616766,25.9329196,49.9635383
DAMMAM FIRESTATION,DAMMAM FIRESTATION SMOKE,617780,25.9329196,49.9635383
DAMMAM FIRESTATION,DAMMAM FIRESTATION UPS,617828,25.9329196,49.9635383
DAMMAM FIRESTATION,DAMAM FIRESTATION WEATHER,622432,25.9329196,49.9635383
HAIL, HAIL GATEWAY,82812,27.4653318,41.7962962
HAIL,HAIL WEATHER,622285,27.4653318,41.7962962
HAIL,HAIL SMOKE,617937,27.4653318,41.7962962
HAIL,HAIL FLOOD,616761,27.4653318,41.7962962
HAIL,HAIL MOTION,623295,27.4653318,41.7962962
HAIL,HAIL UPS,617886,27.4653318,41.7962962
HAIL,HAIL METER COUNT,608761,27.4653318,41.7962962
JEDDAH 1,JEDDAH 1 GATEWAY,83444,21.4310626,39.2140809
JEDDAH 2,JEDDAH 1 MOTION,623003,21.4310626,39.2140809
JEDDAH 3,JEDDAH 1 UPS,602205,21.4310626,39.2140809
JEDDAH 4,JEDDAH 1 WEAHTER,604805,21.4310626,39.2140809
JEDDAH 5,JEDDAH 1 FLOOD,617137,21.4310626,39.2140809
JEDDAH 6,JEDDAH 1 SMOKE,617950,21.4310626,39.2140809
JEDDAH 7,JEDDAH 1 METER COUNT,609142,21.4310626,39.2140809
JEDDAH 2 ,JEDDAH 2 GATEWAY ,83882,21.1104523,39.2541239
JEDDAH 3,JEDDAH 2 MOTION,623100,21.1104523,39.2541239
JEDDAH 4,JEDDAH 2 UPS,617835,21.1104523,39.2541239
JEDDAH 5,JEDDAH 2 METER COUNT,608330,21.1104523,39.2541239
JEDDAH 6,JEDDAH 2 FLOOD,616779,21.1104523,39.2541239
JEDDAH 7,JEDDAH 2 WEATHER,622238,21.1104523,39.2541239
JEDDAH 8,JEDDAH 2 SMOKE,617802,21.1104523,39.2541239
JEDDAH FIRESTATION,JEDDAH FIRESTATION GATEWAY,83197,21.1100136,39.2554006
JEDDAH FIRESTATION,JEDDAH FIRESTATION SMOKE,617730,21.1100136,39.2554006
JEDDAH FIRESTATION,JEDDAH FIRESTATION UPS,617974,21.1100136,39.2554006
JEDDAH FIRESTATION,JEDDAH FIRESTATION WEATHER,622272,21.1100136,39.2554006
JEDDAH FIRESTATION,JEDDAH FIRESTATION METER COUNT,608002,21.1100136,39.2554006
JEDDAH FIRESTATION,JEDDAH FIRESTATION MOTION,623311,21.1100136,39.2554006
JEDDAH FIRESTATION,JEDDAH FIRESTATION FLOOD ,616764,21.1100136,39.2554006
ASEER ,ASEER GATEWAY ,81621,18.3342568,42.6582809
ASEER ,ASEER METER COUNT,609859,18.3342568,42.6582809
ASEER ,ASEER UPS,617723,18.3342568,42.6582809
ASEER ,ASEER MOTION,623084,18.3342568,42.6582809
ASEER ,ASEER WEATHER,622370,18.3342568,42.6582809
ASEER ,ASEER SMOKE,618060,18.3342568,42.6582809
ASEER ,ASEER FLOOD,617017,18.3342568,42.6582809
MADINAH COMM,MADINAH COMM GATEWAY,82827,24.3101182,39.5445453
MADINAH COMM,MADINAH COMM MOTION,623259,24.3101182,39.5445453
MADINAH COMM,MADINAH COMM METER COUNT,609909,24.3101182,39.5445453
MADINAH COMM,MADINAH COMM UPS,617827,24.3101182,39.5445453
