,user,location,created_at,text,favorite_count,id_str,truncated,is_quote_status,retweet_count,entities,favorited,retweeted,date,time,time_bins,tags_in_text,hashtags_in_text
0,brandonmscales,Unknown,2021-01-15 06:45:54,RT @GraceVanderWaal: it's #worldmentalhealthday and just think it's a good reminder that no matter what someone's life looks like from the…,0,1349971050717728768,False,False,339,"{'hashtags': [{'text': 'worldmentalhealthday', 'indices': [26, 47]}], 'symbols': [], 'user_mentions': [{'screen_name': 'GraceVanderWaal', 'name': 'Grace VanderWaal', 'id': 706933895502163968, 'id_str': '706933895502163968', 'indices': [3, 19]}], 'urls': []}",False,False,15,6,0-6,@GraceVanderWaal, #worldmentalhealthday 
1,Charmai08376709,Unknown,2021-01-15 04:07:44,"RT @PropelWomen: As @DrAnitaPhillips reminds us—mental health matters. We’re praying that you’ll experience God’s overwhelming love, peace,…",0,1349931245594157056,False,False,21,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PropelWomen', 'name': 'Propel Women', 'id': 2228775182, 'id_str': '2228775182', 'indices': [3, 15]}, {'screen_name': 'DrAnitaPhillips', 'name': 'Dr. Anita Phillips', 'id': 232869812, 'id_str': '232869812', 'indices': [20, 36]}], 'urls': []}",False,False,15,4,0-6,"@PropelWomen, @DrAnitaPhillips",
2,ekenaga,Japan,2021-01-15 03:16:54,"RT @akathisiaalli: Our updated Patient Care Information Cards can aid Dr’s in recognising, diagnosing &amp; most importantly safely treating a…",0,1349918454715883520,False,False,14,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'akathisiaalli', 'name': 'Akathisia Alliance for Education and Research', 'id': 1060689087458394113, 'id_str': '1060689087458394113', 'indices': [3, 17]}], 'urls': []}",False,False,15,3,0-6,@akathisiaalli,
3,DorisMoonlight,Honeymoon ãve.,2021-01-15 01:09:48,"RT @rarebeauty: Happy World Mental Health Day, friends! 🎉 Come hang with us all day long for our first ever Mental Health Social Summit. To…",0,1349886467649232896,False,False,1415,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rarebeauty', 'name': 'Rare Beauty', 'id': 1222282820153835520, 'id_str': '1222282820153835520', 'indices': [3, 14]}], 'urls': []}",False,False,15,1,0-6,@rarebeauty,
4,TheOnlyZiko,Abroad ,2021-01-14 23:27:07,"RT @marcrebillet: TALK IT OUT

#WorldMentalHealthDay https://t.co/g1LZt6dE3R",0,1349860626299047936,False,False,3531,"{'hashtags': [{'text': 'WorldMentalHealthDay', 'indices': [31, 52]}], 'symbols': [], 'user_mentions': [{'screen_name': 'marcrebillet', 'name': 'Marc Rebillet', 'id': 1028115176149667840, 'id_str': '1028115176149667840', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1315005893914755072, 'id_str': '1315005893914755072', 'indices': [53, 76], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1315005893914755072/pu/img/ZdKXgzsgptkiAX8a.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1315005893914755072/pu/img/ZdKXgzsgptkiAX8a.jpg', 'url': 'https://t.co/g1LZt6dE3R', 'display_url': 'pic.twitter.com/g1LZt6dE3R', 'expanded_url': 'https://twitter.com/marcrebillet/status/1315006090296193024/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 672, 'h': 672, 'resize': 'fit'}, 'large': {'w': 672, 'h': 672, 'resize': 'fit'}, 'medium': {'w': 672, 'h': 672, 'resize': 'fit'}}, 'source_status_id': 1315006090296193024, 'source_status_id_str': '1315006090296193024', 'source_user_id': 1028115176149667840, 'source_user_id_str': '1028115176149667840'}]}",False,False,14,23,19-23,@marcrebillet, #WorldMentalHealthDay 
5,80SZDH,she/they • 1/7 • minor,2021-01-14 22:28:18,"RT @JonahMarais: remember, it’s okay not to be okay. be there for yourself. take time to know and love yourself. we’re all in this boat of…",0,1349845825644593152,False,False,6025,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JonahMarais', 'name': 'Jonah • WHY DON’T WE', 'id': 2329626888, 'id_str': '2329626888', 'indices': [3, 15]}], 'urls': []}",False,False,14,22,19-23,@JonahMarais,
6,dishainsan,New delhi,2021-01-14 22:20:57,"RT @StMSGfansworld: For mental health &amp; fitness, make the trio of meditation, yoga and pranayama a part of your daily routine.
#WorldMental…",0,1349843976635858944,False,False,471,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'StMSGfansworld', 'name': 'Saint Dr. MSG Fans World', 'id': 828659818428846086, 'id_str': '828659818428846086', 'indices': [3, 18]}], 'urls': []}",False,False,14,22,19-23,@StMSGfansworld, #WorldMental… 
7,dishainsan,New delhi,2021-01-14 22:20:53,"RT @StMSGfansworld: If you're struggling with impatience, stress, short temper &amp; complaining nature, then meditation is the ultimate soluti…",0,1349843960961720320,False,False,297,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'StMSGfansworld', 'name': 'Saint Dr. MSG Fans World', 'id': 828659818428846086, 'id_str': '828659818428846086', 'indices': [3, 18]}], 'urls': []}",False,False,14,22,19-23,@StMSGfansworld,
8,PaulaScottUK,Essex,2021-01-14 21:24:21,"RT @TiccerU: It's #WorldMentalHealthDay 
How many people diagnosed with OCD, Anorexia, Bipolar disorder or a Psychotic disorder may actuall…",0,1349829733937270784,False,False,7,"{'hashtags': [{'text': 'WorldMentalHealthDay', 'indices': [18, 39]}], 'symbols': [], 'user_mentions': [{'screen_name': 'TiccerU', 'name': ""Ticcer's Unite"", 'id': 1310613876598284290, 'id_str': '1310613876598284290', 'indices': [3, 11]}], 'urls': []}",False,False,14,21,19-23,@TiccerU, #WorldMentalHealthDay 
9,greysmarais,maraisofsunshine_ on ig :),2021-01-14 21:02:40,"RT @JonahMarais: remember, it’s okay not to be okay. be there for yourself. take time to know and love yourself. we’re all in this boat of…",0,1349824277118406656,False,False,6025,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JonahMarais', 'name': 'Jonah • WHY DON’T WE', 'id': 2329626888, 'id_str': '2329626888', 'indices': [3, 15]}], 'urls': []}",False,False,14,21,19-23,@JonahMarais,
10,Hopesaxons,"Burnham-on-Sea, England",2021-01-14 20:50:17,"RT @TiccerU: Today is #WorldMentalHealthDay

I am passionate about the role of food sensitivities &amp; brain allergies &amp; how they impact menta…",0,1349821157986467840,False,False,2,"{'hashtags': [{'text': 'WorldMentalHealthDay', 'indices': [22, 43]}], 'symbols': [], 'user_mentions': [{'screen_name': 'TiccerU', 'name': ""Ticcer's Unite"", 'id': 1310613876598284290, 'id_str': '1310613876598284290', 'indices': [3, 11]}], 'urls': []}",False,False,14,20,19-23,@TiccerU, #WorldMentalHealthDay 
11,soniaserrano0,Unknown,2021-01-14 20:49:32,"RT @TiccerU: It's #WorldMentalHealthDay 
How many people diagnosed with OCD, Anorexia, Bipolar disorder or a Psychotic disorder may actuall…",0,1349820968731107328,False,False,7,"{'hashtags': [{'text': 'WorldMentalHealthDay', 'indices': [18, 39]}], 'symbols': [], 'user_mentions': [{'screen_name': 'TiccerU', 'name': ""Ticcer's Unite"", 'id': 1310613876598284290, 'id_str': '1310613876598284290', 'indices': [3, 11]}], 'urls': []}",False,False,14,20,19-23,@TiccerU, #WorldMentalHealthDay 
12,Hopesaxons,"Burnham-on-Sea, England",2021-01-14 20:48:49,"RT @TiccerU: It's #WorldMentalHealthDay 
How many people diagnosed with OCD, Anorexia, Bipolar disorder or a Psychotic disorder may actuall…",0,1349820789730795520,False,False,7,"{'hashtags': [{'text': 'WorldMentalHealthDay', 'indices': [18, 39]}], 'symbols': [], 'user_mentions': [{'screen_name': 'TiccerU', 'name': ""Ticcer's Unite"", 'id': 1310613876598284290, 'id_str': '1310613876598284290', 'indices': [3, 11]}], 'urls': []}",False,False,14,20,19-23,@TiccerU, #WorldMentalHealthDay 
13,bbhbyunz,she/her,2021-01-14 20:10:57,"RT @touchnct: “You can give up, you can be poor at it. You don’t have to be what you want to be, you can be weird. It’s ok if others critic…",0,1349811262495068160,False,False,1793,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'touchnct', 'name': '툥 🌹', 'id': 968927146805792768, 'id_str': '968927146805792768', 'indices': [3, 12]}], 'urls': []}",False,False,14,20,19-23,@touchnct,
14,SairaNHaque,The South,2021-01-14 19:03:56,RT @RTI_HealthIT: #ThrowbackThursday to #WorldMentalHealthDay (10/10/20) - Earlier @APA_Publishing article by @SairaNHaque discusses #teleh…,0,1349794394803740672,False,False,2,"{'hashtags': [{'text': 'ThrowbackThursday', 'indices': [18, 36]}, {'text': 'WorldMentalHealthDay', 'indices': [40, 61]}], 'symbols': [], 'user_mentions': [{'screen_name': 'RTI_HealthIT', 'name': 'RTI Health IT', 'id': 1197342463, 'id_str': '1197342463', 'indices': [3, 16]}, {'screen_name': 'APA_Publishing', 'name': 'Amer Psychiatric Pub', 'id': 19400875, 'id_str': '19400875', 'indices': [83, 98]}, {'screen_name': 'SairaNHaque', 'name': 'Saira Naim Haque, PhD', 'id': 302966112, 'id_str': '302966112', 'indices': [110, 122]}], 'urls': []}",False,False,14,19,19-23,"@RTI_HealthIT, @APA_Publishing, @SairaNHaque"," #ThrowbackThursday ,  #WorldMentalHealthDay ,  #teleh… "
15,race_4_truth,United Kingdom,2021-01-14 18:50:03,"Does the #Hypocrisy of @CR_UK CEO @Michelle_CRUK know any limits?
Read about it here: https://t.co/ycm1fSLTrr… https://t.co/5kEqvLP8Ss",0,1349790900902309888,True,False,0,"{'hashtags': [{'text': 'Hypocrisy', 'indices': [9, 19]}], 'symbols': [], 'user_mentions': [{'screen_name': 'CR_UK', 'name': 'Cancer Research UK', 'id': 20693661, 'id_str': '20693661', 'indices': [23, 29]}, {'screen_name': 'Michelle_CRUK', 'name': 'Michelle Mitchell', 'id': 746929086, 'id_str': '746929086', 'indices': [34, 48]}], 'urls': [{'url': 'https://t.co/ycm1fSLTrr', 'expanded_url': 'http://ow.ly/HxsS50x1nMX', 'display_url': 'ow.ly/HxsS50x1nMX', 'indices': [86, 109]}, {'url': 'https://t.co/5kEqvLP8Ss', 'expanded_url': 'https://twitter.com/i/web/status/1349790900902309891', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [111, 134]}]}",False,False,14,18,13-18,"@CR_UK, @Michelle_CRUK", #Hypocrisy 
16,embracepfc,East Anglia,2021-01-14 18:49:03,"We received this feedback from a young person we've supported, this is why we do what we do 'supporting you to beco… https://t.co/EgZLs9eV9V",0,1349790650200453120,True,False,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/EgZLs9eV9V', 'expanded_url': 'https://twitter.com/i/web/status/1349790650200453123', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",False,False,14,18,13-18,,
